epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1.0,369.977,2.24693,2.41375,0.0035,0.32886,0.26135,0.21371,0.10041,2.2472,1.64971,0.00417,0.000237,0.000237,0.000237
2.0,727.735,2.16109,1.78463,0.0032,0.35939,0.28999,0.24203,0.12698,2.07453,1.61239,0.0037,0.000460,0.000460,0.000460
3.0,1084.44,2.15388,1.7147,0.00315,0.32945,0.2913,0.22726,0.11702,2.16948,1.76866,0.00393,0.000666,0.000666,0.000666
4.0,1439.28,2.13989,1.68965,0.00312,0.39013,0.31696,0.27981,0.15483,2.0103,1.50025,0.00349,0.000643,0.000643,0.000643
5.0,1793.72,2.11499,1.65329,0.00308,0.42264,0.3362,0.30489,0.16928,1.9636,1.4487,0.00339,0.000620,0.000620,0.000620
6.0,2147.18,2.07363,1.59741,0.003,0.42148,0.34703,0.30182,0.16764,1.96518,1.42179,0.00334,0.000596,0.000596,0.000596
7.0,2501.42,2.07384,1.57572,0.00297,0.44213,0.34832,0.32157,0.17687,1.96663,1.40704,0.00341,0.000573,0.000573,0.000573
8.0,2855.58,2.0604,1.55415,0.00292,0.44893,0.35412,0.32761,0.18508,1.95355,1.40689,0.00334,0.000549,0.000549,0.000549
9.0,3212.62,2.04056,1.53731,0.0029,0.45172,0.35292,0.32814,0.18769,1.89735,1.38271,0.00323,0.000526,0.000526,0.000526
10.0,3567.47,2.02851,1.52051,0.00287,0.43555,0.36103,0.33449,0.18636,1.93921,1.39337,0.00332,0.000502,0.000502,0.000502
11.0,3922.44,2.01306,1.50701,0.00283,0.46344,0.36785,0.34699,0.19795,1.87362,1.35876,0.00316,0.000478,0.000478,0.000478
12.0,4277.99,2.00387,1.48811,0.00279,0.4545,0.34957,0.33064,0.18581,1.94122,1.39937,0.00325,0.000455,0.000455,0.000455
13.0,4632.48,1.98326,1.45982,0.00276,0.45613,0.37957,0.35149,0.19774,1.90572,1.35687,0.00319,0.000431,0.000431,0.000431
14.0,4988.17,1.9721,1.44776,0.00276,0.4818,0.37254,0.35371,0.20234,1.85575,1.32728,0.0031,0.000408,0.000408,0.000408
15.0,5342.65,1.9528,1.42905,0.00271,0.47359,0.38119,0.36134,0.20695,1.87278,1.33088,0.00315,0.000384,0.000384,0.000384
16.0,5698.22,1.94628,1.41419,0.00267,0.47352,0.3787,0.36248,0.20937,1.8636,1.32509,0.00311,0.000361,0.000361,0.000361
17.0,6052.34,1.93227,1.403,0.00267,0.49908,0.39807,0.3829,0.21905,1.84292,1.28318,0.00305,0.000337,0.000337,0.000337
18.0,6406.47,1.92342,1.39594,0.00263,0.48209,0.39142,0.3772,0.21727,1.84371,1.29562,0.00302,0.000313,0.000313,0.000313
19.0,6761.45,1.90792,1.37,0.00259,0.49663,0.38804,0.38006,0.21948,1.84382,1.29472,0.00302,0.000290,0.000290,0.000290
20.0,7117.46,1.91306,1.37646,0.00259,0.5093,0.40385,0.39332,0.22791,1.81111,1.26348,0.00297,0.000266,0.000266,0.000266
21.0,7445.34,1.77123,1.23885,0.0025,0.4747,0.39567,0.3761,0.21493,1.84666,1.29791,0.00308,0.000243,0.000243,0.000243
22.0,7772.32,1.75173,1.21801,0.00246,0.51656,0.40318,0.39313,0.22831,1.81628,1.25642,0.00296,0.000219,0.000219,0.000219
23.0,8100.05,1.7437,1.20238,0.00243,0.51394,0.39692,0.39017,0.22646,1.81469,1.26024,0.00297,0.000196,0.000196,0.000196
24.0,8426.65,1.73316,1.1849,0.00241,0.51815,0.4064,0.39933,0.23133,1.81393,1.24852,0.00297,0.000172,0.000172,0.000172
25.0,8753.25,1.72272,1.17656,0.00244,0.52158,0.40187,0.39831,0.2323,1.81393,1.24852,0.00297,0.000148,0.000148,0.000148
26.0,9079.85,1.70922,1.16538,0.00234,0.51884,0.40321,0.40028,0.23436,1.81393,1.24852,0.00297,0.000124,0.000124,0.000124
27.0,9406.45,1.70487,1.15896,0.00234,0.52514,0.41339,0.40545,0.23346,1.81393,1.24852,0.00297,0.000100,0.000100,0.000100
28.0,9733.05,1.7042,1.14792,0.00235,0.52533,0.41046,0.40729,0.23573,1.81393,1.24852,0.00297,0.000076,0.000076,0.000076
29.0,10059.65,1.68975,1.1429,0.00229,0.52112,0.41384,0.4063,0.23793,1.81393,1.24852,0.00297,0.000052,0.000052,0.000052
30.0,10386.25,1.68711,1.13137,0.00234,0.52535,0.41671,0.40906,0.23968,1.81393,1.24852,0.00297,0.000028,0.000028,0.000028
